cancer,gene,rho,p,adj.p
HNSC (n=520),LAMC2,0.288278462610933,7.84253907982802e-11,2.35276172394841e-10
HNSC-HPV+ (n=97),LAMC2,0.106848008392909,0.321767777166349,0.321767777166349
HNSC-HPV- (n=421),LAMC2,0.311020919600963,2.13431683335049e-10,3.20147525002574e-10
