cancer,gene,rho,p,adj.p
HNSC (n=520),VIM,0.184366180234508,2.33280357631711e-05,3.49920536447566e-05
HNSC-HPV+ (n=97),VIM,0.0410530191458027,0.689707382507937,0.689707382507937
HNSC-HPV- (n=421),VIM,0.210971073483034,1.27052015893235e-05,3.49920536447566e-05
