gene	proxy_tumor_spearman_rho	proxy_tumor_spearman_p	proxy_tumor_pearson_r	non_proxy_spearman_rho	patient_mean_spearman_rho	patient_mean_spearman_p
LAMC2	0.5915163109607978	0.0	0.5188680101905483	0.2379964521485859	0.6848484848484848	0.02888279750673277
ITGA5	0.5165394597024706	0.0	0.5882371421488903	0.5024289733907764	0.5757575757575757	0.08155281477260247
VIM	0.05292388965375886	2.6068272042035635e-34	0.3513536156271567	0.478182561862307	0.2606060606060606	0.46708905438634013
KRT17	0.4166487927512834	0.0	0.39570181933292	0.164224638703044	0.8303030303030302	0.0029402270232795095
KRT14	0.28469757937114254	0.0	0.38533258448678154	0.12760888222315886	0.2727272727272727	0.4458383415427514
