cell_id,WBP5,ITGA5,LAMC2,VIM,KRT14,KRT17,is_cancer,site,non_cancer_type,compartment,patient,WBP5_detected,ITGA5_detected,LAMC2_detected,VIM_detected,KRT14_detected,KRT17_detected
HNSCC25_P3_F04_S160_comb,0,0,0,0.22651,0.29983,0,0,Primary,myocyte,myocyte,25,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
HNSCC25_P22_B01_S301_comb,0,0,0.053806,7.6792,0,0,0,Lymph node,Fibroblast,Fibroblast,25,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
HNSCC25_P3_D01_S133_comb,0,5.4912,0,10.073,0.45733,0,0,Primary,Fibroblast,Fibroblast,25,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
HNSCC25_P22_G09_S369_comb,4.9433,0,0.053806,8.0506,0,0.68437,0,Lymph node,Fibroblast,Fibroblast,25,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
HNSCC25_P3_A03_S99_comb,5.1541,0,0,8.3164,0,0,0,Primary,Fibroblast,Fibroblast,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC25_P3_A04_S100_comb,0,0,0,5.0515,0,0,0,Primary,myocyte,myocyte,25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC25_P3_F12_S168_comb,0,0,0,9.1765,0,0,0,Primary,Mast,Mast,25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC25_P22_B12_S312_comb,0,3.2502,0.15704,10.019,0.12168,0,0,Lymph node,Fibroblast,Fibroblast,25,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
HNSCC25_P3_F10_S166_comb,4.9542,0,4.3782,4.7285,11.907,0.23143,1,Primary,0,Cancer cells,25,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
HNSCC28_P2_A12_S12_comb,0,0,0,0.83835,0.23756,0,0,Primary,myocyte,myocyte,28,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
HNSCC28_P2_A09_S9_comb,3.1835,0,0,8.4043,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P12_G09_S273_comb,0,0.15316,0.073135,7.7368,0.5656,0.2228,0,Lymph node,Fibroblast,Fibroblast,28,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
HNSCC28_P12_H02_S278_comb,3.1595,0,4.2901,0,11.732,8.5662,1,Lymph node,0,Cancer cells,28,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P2_C06_S30_comb,0,0,0,9.3087,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_G09_S81_comb,0,0,0.18269,8.461,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P2_H06_S90_comb,6.0537,0,0,8.2527,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_E11_S59_comb,0,0,0,8.2339,1.984,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
HNSCC28_P13_C08_S224_comb,4.9156,1.7407,0,9.9334,0,0,0,Lymph node,Fibroblast,Fibroblast,28,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_D11_S47_comb,0,0,0,8.8509,2.0607,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
HNSCC28_P12_B07_S211_comb,0,7.0824,0,8.5995,0,0,0,Lymph node,Fibroblast,Fibroblast,28,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_F01_S61_comb,0,0,0,7.052,0,0.4678,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
HNSCC28_P1_G12_S84_comb,0.48336,0,0,10.01,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P2_E11_S59_comb,0,0,0,9.8467,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_D01_S37_comb,6.604,6.1743,0.27381,8.9208,0,0,0,Primary,Fibroblast,Fibroblast,28,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P13_H11_S287_comb,3.4217,0,0,0,12.084,9.0521,1,Lymph node,0,Cancer cells,28,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
HNSCC28_P2_H01_S85_comb,0,0,0,8.9886,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P12_G03_S267_comb,0,0,0,9.6527,0.46048,0.25942,0,Lymph node,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
HNSCC28_P1_B09_S21_comb,0,0,0,0,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HNSCC28_P1_G05_S77_comb,2.6958,0,3.2024,0,11.723,10.602,1,Primary,0,Cancer cells,28,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P13_A05_S197_comb,0,0,0,9.2445,0,0,0,Lymph node,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_G10_S82_comb,3.4084,4.4035,0,9.1465,0,0,0,Primary,0,0,28,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
