cell_id,WBP5,is_cancer,site,non_cancer_type,compartment,patient,detected
HNSCC17_P3_D06_S234_comb,0.85679,1,Primary,0,Cancer cells,17,TRUE
HNSCC_17_P9_F08_S68_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P7_C10_S130_comb,4.6263,0,Primary,Fibroblast,Fibroblast,17,TRUE
HNSCC17_P13_G10_S370_comb,0,0,Primary,T cell,T cell,17,FALSE
HNSCC17_P3_B01_S205_comb,4.3182,1,Primary,0,Cancer cells,17,TRUE
HNSCC17_P7_C02_S122_comb,7.2272,0,Primary,Fibroblast,Fibroblast,17,TRUE
HNSCC_17_P10_A02_S194_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P2_C06_S126_comb,2.3978,1,Primary,0,Cancer cells,18,TRUE
HNSCC16_P2_B09_S21_comb,5.4749,0,Primary,Endothelial,Endothelial,16,TRUE
HNSCC18_P2_F05_S161_comb,0,0,Primary,0,0,18,FALSE
HNSCC18_P16_A01_S193_comb,0,0,Primary,T cell,T cell,18,FALSE
