cell_id,WBP5,is_cancer,site,non_cancer_type,compartment,patient,detected
HNSCC17_P2_C01_S25_comb,2.4455,1,Primary,0,Cancer cells,17,TRUE
HNSCC16_P9_F09_S261_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC16_P9_D05_S233_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC18_P15_C09_S33_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P16_F10_S262_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC17_P3_D04_S232_comb,2.4634,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P7_E03_S147_comb,3.4053,0,Primary,Fibroblast,Fibroblast,18,TRUE
HNSCC_17_P9_E08_S56_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC16_P2_A12_S12_comb,0.80571,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC16_P2_H07_S91_comb,6.233,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC16_P9_G01_S265_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC18_P13_C10_S322_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC17_P3_E03_S243_comb,0,1,Primary,0,Cancer cells,17,FALSE
HNSCC18_P7_A03_S99_comb,3.1063,0,Primary,Endothelial,Endothelial,18,TRUE
HNSCC16_P9_C09_S225_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC16_P2_D10_S46_comb,0,0,Primary,Fibroblast,Fibroblast,16,FALSE
HNSCC18_P15_A10_S10_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P15_H09_S93_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC_17_P10_F06_S258_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC_17_P9_H08_S92_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P3_B08_S212_comb,2.8606,1,Primary,0,Cancer cells,17,TRUE
HNSCC16_P2_D08_S44_comb,4.4988,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC18_P3_H08_S380_comb,0.24123,1,Primary,0,Cancer cells,18,TRUE
HNSCC18_P13_F05_S353_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC16_P9_G12_S276_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC18_P15_C05_S29_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC18_P16_E11_S251_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC_17_P9_F12_S72_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P2_G12_S180_comb,0,1,Primary,0,Cancer cells,18,FALSE
HNSCC_17_P10_E02_S242_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC16_P2_D03_S39_comb,0,0,Primary,Endothelial,Endothelial,16,FALSE
HNSCC18_P3_F11_S359_comb,0,0,Primary,0,0,18,FALSE
HNSCC_17_P9_F04_S64_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P7_B09_S117_comb,0,0,Primary,Endothelial,Endothelial,17,FALSE
HNSCC_17_P10_D05_S233_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P7_E11_S155_comb,5.2632,1,Primary,0,Cancer cells,18,TRUE
HNSCC16_P9_B09_S213_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC18_P2_E11_S155_comb,0,1,Primary,0,Cancer cells,18,FALSE
HNSCC18_P3_A08_S296_comb,4.2892,1,Primary,0,Cancer cells,18,TRUE
HNSCC16_P2_F01_S61_comb,5.3112,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC18_P16_G09_S273_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC17_P13_F10_S358_comb,0,0,Primary,Mast,Mast,17,FALSE
HNSCC17_P2_D01_S37_comb,3.4624,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P2_F04_S160_comb,0,0,Primary,0,0,18,FALSE
HNSCC17_P2_A05_S5_comb,0,1,Primary,0,Cancer cells,17,FALSE
HNSCC18_P7_H11_S191_comb,5.0678,1,Primary,0,Cancer cells,18,TRUE
HNSCC18_P3_D01_S325_comb,0,1,Primary,0,Cancer cells,18,FALSE
HNSCC18_P13_C01_S313_comb,0.34255,0,Primary,B cell,B cell,18,TRUE
HNSCC17_P2_G07_S79_comb,1.5049,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P3_E03_S339_comb,0,0,Primary,0,0,18,FALSE
