gene	CPM1e4_log1p	as_deposited	delta	published
LAMC2	0.4375723567473858	0.5915163063215932	-0.15394394957420743	0.5915
ITGA5	0.36663997035828005	0.5165394615542203	-0.1498994911959402	0.5165
VIM	-0.05729310824915489	0.052923886058102075	-0.11021699430725695	0.0529
KRT17	0.2975980199128242	0.4166487984041913	-0.11905077849136708	0.4166
KRT14	0.19346759986627327	0.28469758768971065	-0.09122998782343739	0.2847
