cancer,gene,rho,p,adj.p
HNSC (n=520),LAMC2,0.278735697418089,9.83221101992766e-11,1.64759832963637e-10
HNSC-HPV+ (n=97),LAMC2,0.101120345045235,0.324359813177789,0.324359813177789
HNSC-HPV- (n=421),LAMC2,0.307738611199115,1.09839888642425e-10,1.64759832963637e-10
