gene	scale	analysis	subset	n	rho	p	pearson
ITGA5	CPM1e4_log1p	patient_mean	Proxy tumor epithelial cells	10	0.6121212121212121	0.059972142477255276	0.6608302065356563
ITGA5	CPM1e4_log1p	patient_mean	Primary proxy tumor epithelial cells	10	0.5272727272727272	0.1173080655502023	0.5897284530780031
ITGA5	CPM1e4_log1p	patient_mean	Lymph node proxy tumor epithelial cells	10	0.8909090909090909	0.0005421442248338671	0.8423954536487959
VIM	CPM1e4_log1p	cell_level	All cells	268131	0.25554816457219653	0.0	0.2074758545989294
VIM	CPM1e4_log1p	cell_level	Proxy tumor epithelial cells	53192	-0.05729310824915489	6.353805886140415e-40	-0.026816781387076882
VIM	CPM1e4_log1p	cell_level	Non-proxy tumor cells	214939	0.36515037027898556	0.0	0.30027649432213893
VIM	CPM1e4_log1p	cell_level	Primary proxy tumor epithelial cells	48108	-0.06693986558147678	6.601517601060855e-49	-0.03753984725024104
VIM	CPM1e4_log1p	cell_level	Lymph node proxy tumor epithelial cells	5084	-0.1039614836872287	1.0778006643010356e-13	-0.029199548812054395
VIM	CPM1e4_log1p	patient_mean	Proxy tumor epithelial cells	10	-0.406060606060606	0.24428229408662652	-0.28056942236519383
VIM	CPM1e4_log1p	patient_mean	Primary proxy tumor epithelial cells	10	-0.406060606060606	0.24428229408662652	-0.3789503247731356
VIM	CPM1e4_log1p	patient_mean	Lymph node proxy tumor epithelial cells	10	0.4787878787878787	0.16152292801745594	0.8579390324006895
KRT17	CPM1e4_log1p	cell_level	All cells	268131	0.1969796039239711	0.0	0.18016013600205905
KRT17	CPM1e4_log1p	cell_level	Proxy tumor epithelial cells	53192	0.2975980199128242	0.0	0.25915781416025196
KRT17	CPM1e4_log1p	cell_level	Non-proxy tumor cells	214939	0.14161178984235936	0.0	0.11582097900800352
KRT17	CPM1e4_log1p	cell_level	Primary proxy tumor epithelial cells	48108	0.28648543583124336	0.0	0.24604376077631238
