ligand,confidence_score,ptm,iptm,ligand_iptm,complex_plddt,tier
EGFR-erlotinib (pos ctrl),0.788,,,0.981,,high-confidence
WBP5-pazopanib (focal),0.499,,,0.478,,exploratory
aspirin,0.6672695279121399,0.8580552935600281,0.8403568267822266,0.8403568267822266,0.623997688293457,exploratory
caffeine,0.7073864340782166,0.869610071182251,0.8786004781723022,0.8786004781723022,0.6645828485488892,exploratory
ibuprofen,0.7151040434837341,0.8343371748924255,0.9430192112922668,0.9430192112922668,0.6581252217292786,exploratory
glucose,0.664482057094574,0.9164587259292603,0.9061970114707947,0.9061970114707947,0.604053258895874,exploratory
diphenhydramine,0.6571577787399292,0.7555816769599915,0.7947923541069031,0.7947923541069031,0.6227490901947021,exploratory
ascorbic_acid,0.6840460896492004,0.8523818850517273,0.9073215126991272,0.9073215126991272,0.6282272338867188,exploratory
